Generators,Mode,Cents,Closest 12 edo scale,Euclidean Distance
17 25 45 47,4,0 107 486 593 668 1125,0 100 500 600 700 1100,44.079
3 7 15 47,5,0 511 777 814 897 933,0 500 800 800 900 900,44.091
3 17 29 49,5,0 306 597 633 873 909,0 300 600 600 900 900,44.091
3 17 41 49,1,0 273 309 597 633 906,0 300 300 600 600 900,44.091
5 9 21 27,1,0 414 498 680 933 1116,0 400 500 700 900 1100,44.102
7 9 15 21,5,0 120 267 386 702 884,0 100 300 400 700 900,44.102
13 21 33 41,4,0 6 376 417 788 830,0 0 400 400 800 800,44.102
7 17 19 25,5,0 193 529 668 1004 1196,0 200 500 700 1000 1200,44.113
11 15 25 35,5,0 316 396 712 933 979,0 300 400 700 900 1000,44.113
15 19 23 51,2,0 179 410 588 870 919,0 200 400 600 900 900,44.113
15 25 35 37,4,0 96 316 412 679 933,0 100 300 400 700 900,44.113
13 21 29 37,2,0 370 422 791 981 1011,0 400 400 800 1000 1000,44.125
3 19 47 53,0,0 171 207 795 832 1003,0 200 200 800 800 1000,44.136
7 17 19 53,4,0 97 193 529 768 1105,0 100 200 500 800 1100,44.136
11 25 33 41,3,0 222 376 598 720 1078,0 200 400 600 700 1100,44.136
25 33 37 41,1,0 178 376 522 720 898,0 200 400 500 700 900,44.136
13 33 41 43,3,0 329 375 705 787 1117,0 300 400 700 800 1100,44.147
1 3 9 41,1,0 204 273 476 702 975,0 200 300 500 700 1000,44.159
5 9 29 43,1,0 125 374 499 682 1018,0 100 400 500 700 1000,44.159
21 45 51 53,3,0 216 797 1014 1080 1133,0 200 800 1000 1100 1100,44.159
1 5 17 23,5,0 291 572 677 814 919,0 300 600 700 800 900,44.17
1 15 41 51,1,0 112 378 489 771 919,0 100 400 500 800 900,44.17
3 5 41 43,1,0 83 126 273 316 399,0 100 100 300 300 400,44.17
5 21 33 45,3,0 119 204 783 867 986,0 100 200 800 900 1000,44.17
7 15 21 31,5,0 407 526 583 1024 1081,0 400 500 600 1000 1100,44.17
9 15 21 51,0,0 14 281 596 617 933,0 0 300 600 600 900,44.17
25 29 33 35,1,0 224 326 481 583 807,0 200 300 500 600 800,44.17
19 21 25 27,2,0 302 591 893 1027 1067,0 300 600 900 1000 1100,44.181
11 13 21 41,2,0 708 788 830 1078 1119,0 700 800 800 1100 1100,44.193
13 21 37 41,5,0 178 219 788 830 1008,0 200 200 800 800 1000,44.193
5 7 19 43,2,0 403 528 617 986 1074,0 400 500 600 1000 1100,44.204
7 19 43 45,1,0 78 528 607 821 986,0 100 500 600 800 1000,44.204
25 29 31 35,0,0 502 617 827 874 1084,0 500 600 800 900 1100,44.204
1 19 29 51,3,0 223 298 521 691 1030,0 200 300 500 700 1000,44.215
9 13 23 51,0,0 33 212 596 775 809,0 0 200 600 800 800,44.215
15 17 25 43,0,0 315 532 576 793 1109,0 300 500 600 800 1100,44.215
5 31 47 53,2,0 271 479 713 921 1192,0 300 500 700 900 1200,44.227
21 31 49 53,3,0 267 403 793 928 1195,0 300 400 800 900 1200,44.227
19 21 51 53,5,0 107 173 509 797 1133,0 100 200 500 800 1100,44.238
5 7 33 45,3,0 333 378 712 915 996,0 300 400 700 900 1000,44.249
19 23 43 49,5,0 110 226 869 986 1095,0 100 200 900 1000 1100,44.249
3 5 41 51,2,0 273 316 378 421 693,0 300 300 400 400 700,44.261
25 27 45 51,3,0 99 133 984 1018 1117,0 100 100 1000 1000 1100,44.261
3 5 19 47,0,0 516 795 832 884 920,0 500 800 800 900 900,44.283
5 9 27 29,5,0 124 182 306 680 825,0 100 200 300 700 800,44.283
13 21 35 41,5,0 274 315 788 830 1104,0 300 300 800 800 1100,44.283
3 5 7 9,5,0 183 498 618 933 1116,0 200 500 600 900 1100,44.294
3 39 41 43,4,0 87 170 928 1010 1097,0 100 200 900 1000 1100,44.294
5 7 9 21,5,0 183 267 618 702 884,0 200 300 600 700 900,44.294
5 7 11 33,4,0 84 418 583 702 867,0 100 400 600 700 900,44.294
5 15 21 33,4,0 284 618 702 783 867,0 300 600 700 800 900,44.294
7 25 39 49,1,0 197 232 770 805 1002,0 200 200 800 800 1000,44.294
9 15 21 27,1,0 182 498 617 933 1116,0 200 500 600 900 1100,44.294
15 21 25 27,4,0 133 583 716 898 1018,0 100 600 700 900 1000,44.294
15 21 33 35,5,0 102 267 417 582 684,0 100 300 400 600 700,44.294
15 25 35 45,3,0 84 267 583 702 1018,0 100 300 600 700 1000,44.294
1 17 41 49,3,0 105 429 568 892 997,0 100 400 600 900 1000,44.306
11 21 23 35,4,0 80 727 807 884 1123,0 100 700 800 900 1100,44.306
11 29 35 53,3,0 322 478 719 875 1197,0 300 500 700 900 1200,44.306
37 39 49 53,1,0 182 578 669 713 805,0 200 600 700 700 800,44.306
1 7 9 53,2,0 95 204 299 531 969,0 100 200 300 500 1000,44.317
21 23 35 39,0,0 128 285 315 473 601,0 100 300 300 500 600,44.317
1 27 41 49,0,0 294 308 602 770 1031,0 300 300 600 800 1000,44.328
35 41 43 49,5,0 83 618 700 926 974,0 100 600 700 900 1000,44.328
3 23 39 41,3,0 13 86 286 927 1126,0 0 100 300 900 1100,44.34
9 13 41 51,0,0 33 411 596 974 1008,0 0 400 600 1000 1000,44.34
29 35 43 49,3,0 226 518 583 874 1101,0 200 500 600 900 1100,44.34
1 5 41 43,2,0 304 386 429 1075 1117,0 300 400 400 1100 1100,44.351
1 19 21 47,3,0 195 368 730 903 1097,0 200 400 700 900 1100,44.351
3 19 25 43,4,0 71 215 285 476 1010,0 100 200 300 500 1000,44.351
5 17 25 43,0,0 407 532 793 813 1074,0 400 500 800 800 1100,44.351
17 25 43 45,0,0 78 532 611 793 1017,0 100 500 600 800 1000,44.351
3 5 9 41,3,0 183 225 885 927 1110,0 200 200 900 900 1100,44.362
21 23 33 35,5,0 310 625 727 783 885,0 300 600 700 800 900,44.362
13 21 29 33,4,0 189 418 607 830 976,0 200 400 600 800 1000,44.385
25 29 31 37,2,0 115 372 422 679 794,0 100 400 400 700 800,44.385
1 25 47 53,3,0 107 208 773 873 980,0 100 200 800 900 1000,44.396
3 5 7 17,5,0 267 582 603 918 1185,0 300 600 600 900 1200,44.396
5 7 39 47,3,0 279 323 583 626 906,0 300 300 600 600 900,44.396
21 23 37 39,0,0 128 219 285 376 505,0 100 200 300 400 500,44.396
3 5 17 41,2,0 9 281 324 885 927,0 0 300 300 900 900,44.407
5 43 51 53,5,0 67 125 192 487 905,0 100 100 200 500 900,44.407
7 23 33 49,1,0 109 284 393 625 969,0 100 300 400 600 1000,44.407
7 39 49 53,2,0 95 231 669 805 900,0 100 200 700 800 900,44.407
9 21 45 47,4,0 75 195 813 933 1008,0 100 200 800 900 1000,44.407
27 39 43 49,1,0 0 169 395 805 1031,0 0 200 400 800 1000,44.407
1 17 19 29,0,0 22 192 297 924 1029,0 0 200 300 900 1000,44.43
1 27 29 49,3,0 168 292 906 1029 1197,0 200 300 900 1000 1200,44.43
5 7 31 53,3,0 176 272 618 713 889,0 200 300 600 700 900,44.43
15 31 47 53,5,0 506 720 777 928 985,0 500 700 800 900 1000,44.43
3 9 19 29,4,0 93 328 421 795 826,0 100 300 400 800 800,44.441
13 29 49 51,3,0 69 103 978 1011 1080,0 100 100 1000 1000 1100,44.441
19 23 45 51,5,0 115 293 331 984 1022,0 100 300 300 1000 1000,44.441
3 9 29 49,0,0 206 498 533 872 908,0 200 500 500 900 900,44.463
15 19 23 27,0,0 182 330 513 790 922,0 200 300 500 800 900,44.463
3 5 27 29,1,0 192 316 520 873 1077,0 200 300 500 900 1100,44.475
5 7 31 35,5,0 177 231 408 618 990,0 200 200 400 600 1000,44.475
5 11 25 37,4,0 134 300 813 978 1113,0 100 300 800 1000 1100,44.475
5 21 31 35,4,0 231 675 906 990 1116,0 200 700 900 1000 1100,44.475
13 21 29 35,4,0 189 316 505 830 874,0 200 300 500 800 900,44.475
13 33 49 53,1,0 103 380 483 516 1168,0 100 400 500 500 1200,44.475
25 39 47 53,1,0 101 208 770 877 978,0 100 200 800 900 1000,44.475
1 5 9 23,5,0 390 572 776 814 1018,0 400 600 800 800 1000,44.497
1 7 9 45,2,0 204 378 582 814 969,0 200 400 600 800 1000,44.508
3 9 23 49,2,0 592 666 702 1091 1126,0 600 700 700 1100 1100,44.508
3 29 41 49,0,0 19 291 327 891 927,0 0 300 300 900 900,44.508
1 15 27 41,1,0 112 477 588 771 1018,0 100 500 600 800 1000,44.52
1 25 51 53,5,0 707 773 807 1100 1134,0 700 800 800 1100 1100,44.531
3 9 19 53,4,0 94 499 624 1029 1123,0 100 500 600 1000 1100,44.531
1 7 17 45,2,0 105 378 483 715 969,0 100 400 500 700 1000,44.542
11 23 29 51,3,0 179 722 901 977 1123,0 200 700 900 1000 1100,44.542
11 25 35 41,3,0 222 274 496 618 1078,0 200 300 500 600 1100,44.542
23 27 39 49,0,0 117 285 395 922 1031,0 100 300 400 900 1000,44.542
23 29 37 51,5,0 223 377 599 778 1021,0 200 400 600 800 1000,44.542
23 35 43 49,2,0 117 226 473 583 699,0 100 200 500 600 700,44.542
25 35 37 41,1,0 178 274 522 618 796,0 200 300 500 600 800,44.542
1 21 25 27,4,0 133 471 604 898 906,0 100 500 600 900 900,44.565
11 13 21 29,1,0 109 189 478 830 1120,0 100 200 500 800 1100,44.565
11 15 21 35,3,0 81 396 618 933 1014,0 100 400 600 900 1000,44.565
15 21 35 37,4,0 96 618 714 933 981,0 100 600 700 900 1000,44.565
1 9 41 45,5,0 385 610 771 814 975,0 400 600 800 800 1000,44.576
9 17 25 53,5,0 432 569 1000 1099 1101,0 400 600 1000 1100 1100,44.576
23 31 43 51,5,0 179 295 517 633 812,0 200 300 500 600 800,44.587
3 5 29 43,0,0 202 327 518 884 1074,0 200 300 500 900 1100,44.598
21 25 31 53,5,0 425 525 797 827 1099,0 400 500 800 800 1100,44.598
29 31 43 51,4,0 223 567 789 905 1085,0 200 600 800 900 1100,44.598
31 41 43 51,4,0 189 485 567 823 905,0 200 500 600 800 900,44.598
3 15 21 43,3,0 392 583 624 969 1010,0 400 600 600 1000 1000,44.609
7 11 23 49,0,0 76 231 308 417 1090,0 100 200 300 400 1100,44.609
7 23 37 49,2,0 110 483 592 824 969,0 100 500 600 800 1000,44.609
29 31 49 51,1,0 69 116 185 408 978,0 100 100 200 400 1000,44.609
1 23 27 49,4,0 168 629 797 906 1091,0 200 600 800 900 1100,44.621
9 25 27 53,4,0 32 569 601 702 1099,0 0 600 600 700 1100,44.621
13 17 43 49,5,0 304 406 633 871 1097,0 300 400 600 900 1100,44.621
13 25 39 53,4,0 68 101 498 531 599,0 100 100 500 500 600,44.621
15 17 25 47,3,0 107 423 668 983 1090,0 100 400 700 1000 1100,44.621
7 23 35 49,1,0 109 386 495 727 969,0 100 400 500 700 1000,44.632
9 15 17 21,3,0 99 618 717 933 983,0 100 600 700 900 1000,44.632
1 3 7 45,2,0 120 231 498 822 1088,0 100 200 500 800 1100,44.643
1 3 23 45,5,0 517 590 628 1088 1126,0 500 600 600 1100 1100,44.643
1 7 27 45,3,0 231 294 822 884 1116,0 200 300 800 900 1100,44.643
25 31 33 41,5,0 4 376 484 719 828,0 0 400 500 700 800,44.643
1 15 17 29,1,0 112 171 217 276 388,0 100 200 200 300 400,44.654
1 15 17 41,1,0 112 217 771 876 988,0 100 200 800 900 1000,44.654
15 25 51 53,5,0 818 884 918 1099 1133,0 800 900 900 1100 1100,44.654
5 9 29 51,4,0 182 223 405 779 826,0 200 200 400 800 800,44.665
5 17 21 51,1,0 85 366 421 702 787,0 100 400 400 700 800,44.665
7 9 19 21,5,0 94 267 529 702 795,0 100 300 500 700 800,44.665
7 17 21 45,5,0 366 485 702 821 1187,0 400 500 700 800 1200,44.665
15 35 45 53,4,0 267 482 702 917 1183,0 300 500 700 900 1200,44.665
3 9 29 45,5,0 328 386 714 826 1088,0 300 400 700 800 1100,44.677
7 35 41 49,3,0 232 274 506 814 892,0 200 300 500 800 900,44.677
3 5 21 43,4,0 85 126 969 1010 1094,0 100 100 1000 1000 1100,44.699
7 13 39 41,5,0 87 128 215 626 788,0 100 100 200 600 800,44.699
13 17 23 27,4,0 66 524 589 801 988,0 100 500 600 800 1000,44.699
23 25 33 37,0,0 103 480 624 678 823,0 100 500 600 700 800,44.699
3 9 19 25,4,0 71 476 702 1107 1177,0 100 500 700 1100 1200,44.71
3 17 21 25,2,0 231 302 597 668 899,0 200 300 600 700 900,44.71
9 21 27 45,3,0 267 316 583 702 1081,0 300 300 600 700 1100,44.71
11 25 49 53,1,0 101 187 288 323 1166,0 100 200 300 300 1200,44.71
23 33 39 43,1,0 116 289 406 575 1031,0 100 300 400 600 1000,44.71
29 33 39 43,3,0 289 518 808 977 1031,0 300 500 800 1000 1000,44.71
1 5 27 41,5,0 387 429 681 723 1110,0 400 400 700 700 1100,44.721
11 25 29 31,2,0 106 221 478 828 1084,0 100 200 500 800 1100,44.733
11 25 31 41,3,0 221 484 706 828 1078,0 200 500 700 800 1100,44.733
25 31 37 41,1,0 178 484 521 828 1006,0 200 500 500 800 1000,44.733
3 5 29 51,1,0 223 328 780 885 1108,0 200 300 800 900 1100,44.744
3 9 41 49,1,0 273 308 498 534 807,0 300 300 500 500 800,44.744
3 19 25 47,5,0 298 368 405 1093 1130,0 300 400 400 1100 1100,44.744
5 25 31 35,4,0 231 373 604 814 990,0 200 400 600 800 1000,44.744
13 29 35 43,3,0 325 514 682 871 1196,0 300 500 700 900 1200,44.744
15 21 51 53,5,0 516 582 797 918 1133,0 500 600 800 900 1100,44.744
27 45 47 53,4,0 208 885 1092 1125 1168,0 200 900 1100 1100 1200,44.744
3 5 17 29,3,0 281 327 609 884 924,0 300 300 600 900 900,44.755
13 17 27 29,2,0 210 275 399 1011 1134,0 200 300 400 1000 1100,44.755
13 17 27 41,4,0 66 325 390 789 801,0 100 300 400 800 800,44.755
3 7 15 17,4,0 119 597 716 933 983,0 100 600 700 900 1000,44.766
3 19 25 27,3,0 521 591 725 996 1129,0 500 600 700 1000 1100,44.766
11 13 25 49,3,0 68 103 979 1013 1081,0 100 100 1000 1000 1100,44.766
21 31 39 41,0,0 86 128 484 525 612,0 100 100 500 500 600,44.777
1 13 41 43,5,0 330 412 689 771 1100,0 300 400 700 800 1100,44.788
3 21 43 45,1,0 890 969 1010 1081 1122,0 900 1000 1000 1100 1100,44.788
1 13 29 43,4,0 189 512 701 871 1030,0 200 500 700 900 1000,44.8
3 5 7 51,4,0 105 267 420 582 687,0 100 300 400 600 700,44.8
5 11 21 37,4,0 85 901 985 1066 1120,0 100 900 1000 1100 1100,44.8
15 25 27 43,5,0 491 624 806 885 1067,0 500 600 800 900 1100,44.8
1 7 45 51,2,0 15 231 393 822 983,0 0 200 400 800 1000,44.811
1 9 15 41,2,0 111 315 771 975 1086,0 100 300 800 1000 1100,44.811
1 9 19 41,5,0 678 771 903 975 1107,0 700 800 900 1000 1100,44.811
11 13 21 23,4,0 81 213 293 370 1123,0 100 200 300 400 1100,44.811
11 39 49 53,4,0 187 323 395 531 718,0 200 300 400 500 700,44.811
13 21 23 33,5,0 213 370 625 783 995,0 200 400 600 800 1000,44.811
13 21 23 37,5,0 213 370 823 981 1193,0 200 400 800 1000 1200,44.811
27 29 39 49,3,0 169 513 682 805 1077,0 200 500 700 800 1100,44.811
29 39 49 51,5,0 223 395 618 687 1131,0 200 400 600 700 1100,44.811
25 31 35 41,1,0 274 484 617 828 1102,0 300 500 600 800 1100,44.822
3 21 27 53,2,0 32 204 797 969 1001,0 0 200 800 1000 1000,44.844
5 27 47 53,3,0 208 681 889 921 1168,0 200 700 900 900 1200,44.844
7 15 35 37,2,0 267 717 984 1081 1104,0 300 700 1000 1100 1100,44.844
9 21 45 51,0,0 119 596 716 933 983,0 100 600 700 900 1000,44.844
11 23 25 33,2,0 77 221 575 720 796,0 100 200 600 700 800,44.844
25 33 35 41,1,0 274 376 618 720 994,0 300 400 600 700 1000,44.855
29 33 35 53,1,0 224 326 380 482 706,0 200 300 400 500 700,44.855
19 41 43 49,3,0 94 226 309 986 1068,0 100 200 300 1000 1100,44.866
23 25 31 33,5,0 203 575 683 719 827,0 200 600 700 700 800,44.866
13 21 31 39,1,0 128 498 525 895 1024,0 100 500 500 900 1000,44.878
15 17 19 23,2,0 217 410 677 870 1086,0 200 400 700 900 1100,44.878
3 15 17 29,3,0 217 275 814 872 1089,0 200 300 800 900 1100,44.889
15 43 51 53,4,0 67 624 690 905 985,0 100 600 700 900 1000,44.889
1 7 9 25,5,0 232 569 800 996 1004,0 200 600 800 1000 1000,44.911
9 13 27 29,4,0 66 190 702 826 891,0 100 200 700 800 900,44.911
19 29 43 45,2,0 389 468 682 908 1122,0 400 500 700 900 1100,44.911
21 25 39 49,3,0 267 302 396 430 697,0 300 300 400 400 700,44.922
5 17 25 47,2,0 107 281 388 668 921,0 100 300 400 700 900,44.933
23 27 31 43,5,0 278 394 517 633 911,0 300 400 500 600 900,44.933
25 27 43 45,3,0 183 806 989 1067 1122,0 200 800 1000 1100 1100,44.933
9 15 21 47,4,0 267 423 689 884 1005,0 300 400 700 900 1000,44.944
9 19 43 53,0,0 316 530 624 892 985,0 300 500 600 900 1000,44.956
1 17 29 49,2,0 105 292 397 568 1030,0 100 300 400 600 1000,44.967
3 25 51 53,3,0 67 101 1096 1130 1196,0 100 100 1100 1100 1200,44.967
5 21 25 31,1,0 85 387 526 828 913,0 100 400 500 800 900,44.978
5 31 35 47,4,0 231 480 711 921 990,0 200 500 700 900 1000,44.978
7 21 39 53,3,0 403 574 977 1072 1105,0 400 600 1000 1100 1100,44.978
11 23 31 43,2,0 490 567 607 1084 1123,0 500 600 600 1100 1100,44.978
21 29 31 39,2,0 115 513 674 1072 1187,0 100 500 700 1100 1200,44.978
3 5 7 27,4,0 414 618 680 933 996,0 400 600 700 900 1000,45.0
7 15 25 27,2,0 14 133 196 1018 1080,0 0 100 200 1000 1100,45.0
19 21 25 33,0,0 307 480 724 782 1026,0 300 500 700 800 1000,45.0
23 25 33 35,0,0 7 480 582 624 726,0 0 500 600 600 700,45.0
1 5 19 47,3,0 279 368 814 902 1181,0 300 400 800 900 1200,45.011
1 9 41 49,3,0 204 429 667 892 1096,0 200 400 700 900 1100,45.011
11 23 27 41,4,0 122 278 400 477 1123,0 100 300 400 500 1100,45.011
11 37 41 53,3,0 177 322 500 622 1077,0 200 300 500 600 1100,45.011
15 17 21 27,5,0 184 366 583 801 1018,0 200 400 600 800 1000,45.011
19 25 33 53,1,0 380 480 624 725 1105,0 400 500 600 700 1100,45.011
23 27 37 41,5,0 178 377 723 922 1100,0 200 400 700 900 1100,45.011
27 29 31 43,4,0 124 567 690 806 1085,0 100 600 700 800 1100,45.011
27 31 41 43,4,0 90 485 567 724 806,0 100 500 600 700 800,45.011
29 31 37 53,1,0 507 622 778 928 1085,0 500 600 800 900 1100,45.011
1 19 21 51,1,0 174 471 510 807 981,0 200 500 500 800 1000,45.022
7 15 25 31,5,0 709 828 885 1024 1081,0 700 800 900 1000 1100,45.022
11 27 29 41,2,0 122 477 722 1077 1199,0 100 500 700 1100 1200,45.022
9 19 47 53,5,0 368 530 898 992 1106,0 400 500 900 1000 1100,45.033
5 11 15 47,5,0 166 423 588 702 1086,0 200 400 600 700 1100,45.044
5 15 37 47,0,0 134 414 498 777 912,0 100 400 500 800 900,45.044
1 3 17 53,2,0 105 172 277 604 874,0 100 200 300 600 900,45.056
11 23 25 37,2,0 77 222 377 522 598,0 100 200 400 500 600,45.056
7 45 51 53,4,0 67 822 888 983 1105,0 100 800 900 1000 1100,45.067
13 25 37 49,5,0 419 486 521 1097 1132,0 400 500 500 1100 1100,45.067
43 45 51 53,2,0 67 283 905 1122 1188,0 100 300 900 1100 1200,45.067
5 19 41 43,3,0 83 125 1069 1111 1194,0 100 100 1100 1100 1200,45.078
13 21 23 35,5,0 213 370 727 885 1097,0 200 400 700 900 1100,45.078
33 39 41 43,3,0 83 169 825 911 994,0 100 200 800 900 1000,45.078
9 19 51 53,0,0 21 530 596 624 690,0 0 500 600 600 700,45.089
13 21 47 53,5,0 176 208 370 403 578,0 200 200 400 400 600,45.089
5 15 25 33,5,0 316 481 702 867 1182,0 300 500 700 900 1200,45.1
5 25 27 43,0,0 8 133 394 813 1074,0 0 100 400 800 1100,45.1
11 33 41 53,0,0 122 379 502 824 877,0 100 400 500 800 900,45.1
33 37 41 53,0,0 202 379 577 824 1022,0 200 400 600 800 1000,45.1
1 7 17 53,5,0 232 769 1000 1095 1105,0 200 800 1000 1100 1100,45.111
5 9 17 29,2,0 182 281 826 925 1107,0 200 300 800 900 1100,45.111
7 15 17 21,4,0 119 366 485 702 983,0 100 400 500 700 1000,45.111
7 19 27 53,5,0 33 95 608 671 704,0 0 100 600 700 700,45.111
11 13 39 53,4,0 290 323 498 531 821,0 300 300 500 500 800,45.111
13 37 39 53,2,0 498 531 590 623 1121,0 500 500 600 600 1100,45.111
15 17 21 51,5,0 85 366 583 702 919,0 100 400 600 700 900,45.111
19 27 41 45,5,0 185 316 477 908 1069,0 200 300 500 900 1100,45.111
21 25 45 51,2,0 34 217 898 1081 1115,0 0 200 900 1100 1100,45.111
27 39 41 49,0,0 86 395 723 1031 1118,0 100 400 700 1000 1100,45.111
23 25 31 35,1,0 373 517 583 727 1100,0 400 500 600 700 1100,45.122
5 17 21 27,1,0 315 399 680 834 1116,0 300 400 700 800 1100,45.144
9 13 27 41,4,0 66 226 291 702 789,0 100 200 300 700 800,45.144
23 25 35 37,0,0 205 582 678 726 823,0 200 600 700 700 800,45.144
1 3 27 53,3,0 172 204 874 906 1077,0 200 200 900 900 1100,45.177
15 27 47 53,1,0 182 208 390 423 1168,0 200 200 400 400 1200,45.177
29 31 33 53,5,0 705 820 928 976 1084,0 700 800 900 1000 1100,45.177
5 11 37 53,5,0 135 300 712 877 1012,0 100 300 700 900 1000,45.188
5 21 25 27,5,0 85 133 218 520 898,0 100 100 200 500 900,45.188
7 15 33 35,5,0 102 267 915 1080 1182,0 100 300 900 1100 1200,45.188
1 5 29 51,3,0 222 386 609 779 1029,0 200 400 600 800 1000,45.2
1 5 41 51,4,0 378 421 771 814 1191,0 400 400 800 800 1200,45.2
5 21 51 53,1,0 67 403 780 1116 1183,0 100 400 800 1100 1200,45.2
25 29 35 39,2,0 325 513 582 770 1095,0 300 500 600 800 1100,45.2
21 23 31 39,0,0 128 285 525 683 811,0 100 300 500 700 800,45.211
29 31 35 53,1,0 116 272 326 482 598,0 100 300 300 500 600,45.211
1 3 43 53,4,0 172 512 683 873 1010,0 200 500 700 900 1000,45.233
5 25 51 53,1,0 67 101 780 814 881,0 100 100 800 800 900,45.244
25 29 33 39,2,0 223 480 513 770 993,0 200 500 500 800 1000,45.244
5 9 21 47,3,0 182 267 921 1005 1187,0 200 300 900 1000 1200,45.255
23 29 35 43,2,0 117 473 518 875 991,0 100 500 500 900 1000,45.255
25 37 49 53,4,0 101 487 587 622 1165,0 100 500 600 600 1200,45.255
5 19 23 27,0,0 88 330 680 922 1011,0 100 300 700 900 1000,45.266
5 9 19 47,2,0 185 279 368 1018 1106,0 200 300 400 1000 1100,45.277
5 11 33 47,4,0 114 280 702 867 981,0 100 300 700 900 1000,45.277
5 25 33 45,5,0 204 480 684 867 1017,0 200 500 700 900 1000,45.277
5 33 37 47,3,0 198 333 786 920 1119,0 200 300 800 900 1100,45.277
7 11 15 35,5,0 120 396 516 783 933,0 100 400 500 800 900,45.277
7 13 23 39,2,0 213 574 786 915 1072,0 200 600 800 900 1100,45.277
7 19 25 35,2,0 386 528 582 725 1111,0 400 500 600 700 1100,45.277
17 25 27 53,4,0 32 668 700 801 1099,0 0 700 700 800 1100,45.277
17 39 43 49,1,0 169 395 406 632 802,0 200 400 400 600 800,45.277
29 35 41 43,0,0 82 325 408 681 926,0 100 300 400 700 900,45.277
11 23 25 31,1,0 296 373 517 979 1124,0 300 400 500 1000 1100,45.288
23 25 31 37,0,0 4 376 521 683 827,0 0 400 500 700 800,45.288
7 19 25 27,4,0 395 529 591 1004 1067,0 400 500 600 1000 1100,45.299
7 29 31 49,3,0 116 177 909 969 1085,0 100 200 900 1000 1100,45.299
25 27 45 47,4,0 107 885 992 1067 1125,0 100 900 1000 1100 1100,45.299
3 15 19 47,0,0 18 386 422 795 832,0 0 400 400 800 800,45.31
19 21 25 51,1,0 302 690 992 1027 1166,0 300 700 1000 1000 1200,45.31
19 21 33 53,0,0 206 379 624 782 1026,0 200 400 600 800 1000,45.31
1 5 7 43,1,0 106 231 617 688 1075,0 100 200 600 700 1100,45.332
1 15 29 51,3,0 112 170 919 977 1089,0 100 200 900 1000 1100,45.332
3 13 29 51,1,0 105 189 294 328 1167,0 100 200 300 300 1200,45.332
3 13 41 51,0,0 33 272 306 411 1095,0 0 300 300 400 1100,45.332
5 19 25 35,0,0 88 231 475 617 706,0 100 200 500 600 700,45.332
13 23 35 43,1,0 398 515 727 871 1084,0 400 500 700 900 1100,45.332
1 3 9 29,5,0 204 374 702 872 1076,0 200 400 700 900 1100,45.343
3 9 15 29,5,0 316 374 814 872 1188,0 300 400 800 900 1200,45.343
7 25 45 51,5,0 788 822 984 1004 1166,0 800 800 1000 1000 1200,45.343
1 21 47 53,0,0 194 326 521 729 992,0 200 300 500 700 1000,45.365
7 19 35 53,1,0 189 576 671 718 814,0 200 600 700 700 800,45.365
5 7 11 37,0,0 134 299 617 782 917,0 100 300 600 800 900,45.376
5 21 39 47,5,0 793 877 921 1072 1116,0 800 900 900 1100 1100,45.376
11 23 25 35,2,0 77 221 473 618 694,0 100 200 500 600 700,45.376
11 35 41 53,3,0 274 323 597 719 1078,0 300 300 600 700 1100,45.376
35 37 41 53,1,0 178 274 623 719 897,0 200 300 600 700 900,45.376
13 23 27 49,5,0 820 922 988 1032 1097,0 800 900 1000 1000 1100,45.398
5 7 51 53,3,0 67 618 685 780 1105,0 100 600 700 800 1100,45.42
11 13 43 49,5,0 187 226 289 329 516,0 200 200 300 300 500,45.42
13 37 43 49,3,0 226 329 487 589 816,0 200 300 500 600 800,45.42
5 19 23 51,4,0 89 331 779 1021 1110,0 100 300 800 1000 1100,45.431
9 17 21 53,5,0 267 431 698 797 1101,0 300 400 700 800 1100,45.431
3 13 23 51,4,0 105 988 1092 1126 1166,0 100 1000 1100 1100 1200,45.442
1 5 27 29,1,0 171 520 690 814 1077,0 200 500 700 800 1100,45.453
19 29 43 49,2,0 227 468 694 909 986,0 200 500 700 900 1000,45.453
27 31 41 49,5,0 169 408 477 716 884,0 200 400 500 700 900,45.453
1 7 19 47,3,0 297 303 601 832 968,0 300 300 600 800 1000,45.464
7 13 25 49,5,0 901 968 1003 1097 1132,0 900 1000 1000 1100 1100,45.464
15 25 27 47,4,0 133 778 911 1018 1093,0 100 800 900 1000 1100,45.464
17 29 31 43,1,0 115 275 633 793 909,0 100 300 600 800 900,45.486
1 3 19 23,4,0 74 405 572 903 976,0 100 400 600 900 1000,45.497
1 5 29 43,3,0 386 518 905 1030 1075,0 400 500 900 1000 1100,45.497
9 17 19 53,2,0 477 576 670 1008 1101,0 500 600 700 1000 1100,45.497
23 31 37 43,2,0 190 307 567 824 1084,0 200 300 600 800 1100,45.497
3 23 29 31,1,0 74 116 189 517 873,0 100 100 200 500 900,45.508
5 17 19 47,2,0 86 279 368 919 1007,0 100 300 400 900 1000,45.508
7 15 51 53,4,0 95 919 1014 1080 1133,0 100 900 1000 1100 1100,45.508
17 19 23 45,1,0 293 331 486 524 817,0 300 300 500 500 800,45.508
19 41 45 51,5,0 132 293 822 983 1115,0 100 300 800 1000 1100,45.508
27 29 37 41,2,0 422 477 899 1023 1077,0 400 500 900 1000 1100,45.519
